sample,factor,value,group
F242,Factor4,1.28584786765993,single_group
F243,Factor4,-2.27448830195185,single_group
F244,Factor4,0.66253581041131,single_group
F245,Factor4,-1.27115800876919,single_group
F247,Factor4,0.760156666918193,single_group
F248,Factor4,0.00769875960750686,single_group
F249,Factor4,0.75070187446693,single_group
F250,Factor4,0.453540293831992,single_group
F251,Factor4,-1.15788955824238,single_group
F252,Factor4,0.460745432706049,single_group
F253,Factor4,-0.645071638212255,single_group
F255,Factor4,-1.11845098274993,single_group
F256,Factor4,1.01068392603517,single_group
F257,Factor4,-1.02441926177583,single_group
F258,Factor4,-0.559175774047907,single_group
F260,Factor4,-1.37558755644979,single_group
F261,Factor4,0.747333040033303,single_group
F262,Factor4,0.0929992814537843,single_group
F263,Factor4,-1.53217970162879,single_group
F264,Factor4,0.855164694985108,single_group
F265,Factor4,-0.162155414271633,single_group
F266,Factor4,-1.35080328217346,single_group
F267,Factor4,-1.06791126603101,single_group
F268,Factor4,-0.935626426889227,single_group
